Date time,Max temp,Min temp
2017-01-01,33.4,23.6
2017-01-02,34.4,25.3
2017-01-03,32.1,24.4
2017-01-04,32.5,24.6
2017-01-05,30.8,24.5
2017-01-06,31.8,23.5
2017-01-07,33.2,24.5
2017-01-08,30.5,24.4
2017-01-09,32.3,25.2
2017-01-10,29.3,24.4
2017-01-11,32.0,24.6
2017-01-12,31.3,25.2
2017-01-13,32.9,24.5
2017-01-14,32.8,25.0
2017-01-15,32.9,24.5
2017-01-16,32.6,23.0
2017-01-17,32.9,24.6
2017-01-18,32.4,24.3
2017-01-19,33.7,22.2
2017-01-20,33.6,21.7
2017-01-21,33.1,23.7
2017-01-22,33.3,24.5
2017-01-23,32.8,25.0
2017-01-24,33.4,24.0
2017-01-25,33.1,24.5
2017-01-26,30.3,24.7
2017-01-27,32.8,22.7
2017-01-28,33.1,24.5
2017-01-29,33.1,25.8
2017-01-30,33.2,25.3
2017-01-31,30.9,25.2
2017-02-01,30.0,25.0
2017-02-02,30.6,24.2
2017-02-03,31.7,25.1
2017-02-04,31.6,23.7
2017-02-05,31.1,24.3
2017-02-06,31.3,24.0
2017-02-07,30.6,23.6
2017-02-08,31.9,23.3
2017-02-09,31.6,24.1
2017-02-10,31.7,24.7
2017-02-11,32.3,23.3
2017-02-12,32.0,23.6
2017-02-13,35.6,23.8
2017-02-14,35.8,28.0
2017-02-15,33.2,28.7
2017-02-16,32.2,24.6
2017-02-17,30.8,23.8
2017-02-18,32.1,23.3
2017-02-19,32.7,24.0
2017-02-20,32.9,24.0
2017-02-21,32.6,24.6
2017-02-22,32.8,23.7
2017-02-23,32.5,24.3
2017-02-24,30.3,25.0
2017-02-25,30.1,24.2
2017-02-26,32.0,23.3
2017-02-27,32.1,24.2
2017-02-28,31.9,23.5
2017-03-01,32.4,23.8
2017-03-02,30.7,24.8
2017-03-03,27.3,24.2
2017-03-04,32.1,23.8
2017-03-05,31.9,24.0
2017-03-06,32.5,24.6
2017-03-07,33.0,24.2
2017-03-08,33.2,25.4
2017-03-09,32.2,25.5
2017-03-10,32.3,25.1
