Date time,Amount
2017-Jan-1,0
2017-Jan-2,0.4
2017-Jan-3,40
2017-Jan-4,69
2017-Jan-5,25
2017-Jan-6,28
2017-Jan-7,21
2017-Jan-8,95
2017-Jan-9,39
2017-Jan-10,85
2017-Jan-11,76
2017-Jan-12,22
2017-Jan-13,2
2017-Jan-14,3
2017-Jan-15,1.6
2017-Jan-16,32
2017-Jan-17,39
2017-Jan-18,93
2017-Jan-19,3
2017-Jan-20,0
2017-Jan-21,0
2017-Jan-22,0
2017-Jan-23,3
2017-Jan-24,0
2017-Jan-25,0
2017-Jan-26,13
2017-Jan-27,9
2017-Jan-28,0
2017-Jan-29,2
2017-Jan-30,3
2017-Jan-31,12
2017-Feb-1,50
2017-Feb-2,34
2017-Feb-3,20
2017-Feb-4,88
2017-Feb-5,33
2017-Feb-6,15
2017-Feb-7,0
2017-Feb-8,13
2017-Feb-9,7
2017-Feb-10,20
2017-Feb-11,3
2017-Feb-12,1
2017-Feb-13,0
2017-Feb-14,0
2017-Feb-15,0
2017-Feb-16,21
2017-Feb-17,111
2017-Feb-18,5
2017-Feb-19,0
2017-Feb-20,0
2017-Feb-21,0
2017-Feb-22,44
2017-Feb-23,2
2017-Feb-24,32
2017-Feb-25,46
2017-Feb-26,63
2017-Feb-27,1.2
2017-Feb-28,0.2
2017-Mar-1,9
2017-Mar-2,7
2017-Mar-3,64
2017-Mar-4,7
2017-Mar-5,0
2017-Mar-6,1
2017-Mar-7,0
2017-Mar-8,1
2017-Mar-9,10
2017-Mar-10,28
2017-Mar-11,0
2017-Mar-12,0
2017-Mar-13,0
2017-Mar-14,0
2017-Mar-15,15
2017-Mar-16,0
2017-Mar-17,0
2017-Mar-18,0
2017-Mar-19,3
2017-Mar-20,46
2017-Mar-21,38
2017-Mar-22,16
2017-Mar-23,0
2017-Mar-24,14
2017-Mar-25,15
2017-Mar-26,0
2017-Mar-27,0
2017-Mar-28,0
2017-Mar-29,0
2017-Mar-30,0
2017-Mar-31,5
2017-Apr-1,0
2017-Apr-2,3
2017-Apr-3,3
2017-Apr-4,49
2017-Apr-5,170
2017-Apr-6,19
2017-Apr-7,50
2017-Apr-8,33
2017-Apr-9,11
2017-Apr-10,0.8
2017-Apr-11,0
2017-Apr-12,9
2017-Apr-13,6
2017-Apr-14,2
2017-Apr-15,5
2017-Apr-16,13
2017-Apr-17,1
2017-Apr-18,4
2017-Apr-19,11
2017-Apr-20,10
2017-Apr-21,11
2017-Apr-22,8
2017-Apr-23,15
2017-Apr-24,5
2017-Apr-25,4
2017-Apr-26,0.2
2017-Apr-27,0
2017-Apr-28,0
2017-Apr-29,0
2017-Apr-30,0
2017-May-1,2
2017-May-2,1
2017-May-3,0
2017-May-4,0.6
2017-May-5,26
2017-May-6,16
2017-May-7,17
2017-May-8,16
2017-May-9,0
2017-May-10,0
2017-May-11,1.6
2017-May-12,0
2017-May-13,12
2017-May-14,2
2017-May-15,0.2
2017-May-16,0
2017-May-17,0
2017-May-18,9
2017-May-19,11
2017-May-20,5
2017-May-21,0
2017-May-22,0
2017-May-23,0
2017-May-24,18
2017-May-25,5
2017-May-26,0
2017-May-27,0.2
2017-May-28,0.4
2017-May-29,0
2017-May-30,0
2017-May-31,0
2017-Jun-1,1
2017-Jun-2,1.2
2017-Jun-3,5
2017-Jun-4,7
2017-Jun-5,60
2017-Jun-6,3
2017-Jun-7,0
2017-Jun-8,0
2017-Jun-9,0
2017-Jun-10,0
2017-Jun-11,0
2017-Jun-12,5
2017-Jun-13,0
2017-Jun-14,0.2
2017-Jun-15,3
2017-Jun-16,0
2017-Jun-17,0
2017-Jun-18,0
2017-Jun-19,0
2017-Jun-20,0
2017-Jun-21,0.6
2017-Jun-22,4
2017-Jun-23,3
2017-Jun-24,4
2017-Jun-25,10
2017-Jun-26,0.4
2017-Jun-27,6
2017-Jun-28,1.2
2017-Jun-29,10
2017-Jun-30,4
2017-Jul-1,7
2017-Jul-2,10
2017-Jul-3,33
2017-Jul-4,39
2017-Jul-5,1.8
2017-Jul-6,0
2017-Jul-7,0
2017-Jul-8,0
2017-Jul-9,0
2017-Jul-10,0
2017-Jul-11,0
2017-Jul-12,1.4
2017-Jul-13,8
2017-Jul-14,15
2017-Jul-15,11
2017-Jul-16,2
2017-Jul-17,0
2017-Jul-18,0
2017-Jul-19,0
2017-Jul-20,0
2017-Jul-21,0
2017-Jul-22,0
2017-Jul-23,0
2017-Jul-24,0
2017-Jul-25,0
2017-Jul-26,3
2017-Jul-27,9
2017-Jul-28,2
2017-Jul-29,0
2017-Jul-30,0
2017-Jul-31,0
2017-Aug-1,0
2017-Aug-2,0
2017-Aug-3,0.6
2017-Aug-4,0
2017-Aug-5,1
2017-Aug-6,3
2017-Aug-7,0
2017-Aug-8,0
2017-Aug-9,3
2017-Aug-10,0
2017-Aug-11,0
2017-Aug-12,0
2017-Aug-13,0
2017-Aug-14,0
2017-Aug-15,0
2017-Aug-16,0
2017-Aug-17,0
2017-Aug-18,0
