Timestamp,Q,Conductivity,NO3,Temp,Turbidity,Level,Dayofweek,Month
2019-01-01T00:00:00,387.069,53.62,0.134,25.44,8.63,15.785,1,1
2019-01-01T01:00:00,381.6101429,54.49,0.1365,25.42,8.755,15.755,1,1
2019-01-01T02:00:00,373.2624,55.36,0.139,25.4,8.88,15.74,1,1
2019-01-01T03:00:00,359.1155714,54.105,0.1455,25.385,8.465,15.73,1,1
2019-01-01T04:00:00,333.55400000000003,52.85,0.152,25.37,8.05,15.7875,1,1
2019-01-01T05:00:00,288.02514289999993,49.945,0.1525,25.355,7.5,15.955,1,1
2019-01-01T06:00:00,267.202,47.04,0.153,25.34,6.95,16.1025,1,1
2019-01-01T07:00:00,289.05157139999994,46.225,0.1515,25.37,6.725,16.15,1,1
2019-01-01T08:00:00,304.1676,45.41,0.15,25.4,6.5,16.12333333,1,1
2019-01-01T09:00:00,332.1875714,49.77,0.1495,25.55,7.15,16.004,1,1
2019-01-01T10:00:00,340.7716,54.13,0.149,25.7,7.8,15.88333333,1,1
2019-01-01T11:00:00,345.4122857,57.06,0.1495,25.855,7.8,15.7475,1,1
2019-01-01T12:00:00,351.0822,59.99,0.15,26.01,7.8,15.66,1,1
2019-01-01T13:00:00,333.43857139999994,58.73,0.153,26.14,8.065,15.605,1,1
2019-01-01T14:00:00,326.9244,57.47,0.156,26.27,8.33,15.58,1,1
2019-01-01T15:00:00,309.51385710000005,54.71,0.155,26.31,8.2,15.61666667,1,1
2019-01-01T16:00:00,297.4044,51.95,0.154,26.35,8.07,15.69333333,1,1
2019-01-01T17:00:00,269.3034286,50.21,0.157,26.325,7.37,15.866,1,1
2019-01-01T18:00:00,251.7686,48.47,0.16,26.3,6.67,15.98,1,1
2019-01-01T19:00:00,282.702,53.54,0.1555,26.27,6.545,15.965,1,1
2019-01-01T20:00:00,303.0046,58.61,0.151,26.24,6.42,15.848,1,1
2019-01-01T21:00:00,304.98785710000004,61.88,0.1545,26.245,6.66,15.685,1,1
2019-01-01T22:00:00,302.6228,65.15,0.158,26.25,6.9,15.56333333,1,1
2019-01-01T23:00:00,299.4282857,65.99,0.157,26.235,7.31,15.47,1,1
